"","ID","symbols","logFC","P.Value"
"109","117028","2355",-2.52769638120584,0
"110","140780","23596",1.1405389868915,0
"111","179318","23704",-1.10531254155522,0
"112","149805","2487",-1.57357386143958,0
"113","182614","2524",1.23116765330289,0
"114","114126","253738",1.02221293047009,0
"115","118754","255057",-1.15386887052154,0
"116","193950","255394",-1.72331841920803,0
"117","169680","2556",1.08321279355406,0
"118","176705","257000",-1.25687653646451,0
"119","196933","257068",-1.17747650564649,0
"120","211059","257194",-1.43989592291191,0
"121","178184","25837",1.24278542166214,0
"122","204306","2597",-1.08452328367924,0
"123","191898","26154",-1.13184087084483,0
"124","187082","2625",-2.03483906617391,0
"125","186512","2627",-1.7915690322945,0
"126","163513","2634",1.16010752588734,0
"127","140876","26507",1.1017766418222,0
"128","143991","27",-1.00947424168001,0
"129","213376","27030",1.94977351021041,0
"130","102878","27115",1.25052303549507,0
"131","101499","27180",-1.59438455852144,0
"132","222416","27254",1.06120483112984,0
"133","218218","27293",-1.24461434409606,0
"134","145632","2730",-1.11652848418086,0
"135","122607","27315",1.27568828581026,0
"136","175147","2752",1.04508366839643,0
"137","235969","2788",1.64192815024351,0
"138","168176","2796",-1.10352141007628,0
"139","157169","2825",-2.07569869397864,0
"140","159524","283927",1.45289054766349,0
"141","229336","284242",-1.08459934758476,0
"142","212832","284532",1.97928486435267,0
"143","232123","286075",-1.28318331204863,0
"144","211118","2861",1.02050981301834,0
"145","194026","286343",-2.19746435954199,0
"146","210747","29106",1.27440623785271,0
"147","173408","2920",-1.85891784619177,0
"148","177389","2921",-2.85686189756902,0
"149","214990","29931",1.07662557865126,0
"150","193082","29948",-1.37798334043153,0
"151","145583","2995",1.03805859356583,0
"152","206185","29953",1.39951295261988,0
"153","193582","29995",1.12429487454203,0
"154","149612","3008",-1.16587163584701,0
"155","128992","3075",1.23752076109679,0
"156","223108","3084",-2.28396191924606,0
"157","142436","3162",-2.20656829764623,0
"158","225550","3164",1.19493445274141,0
"159","136803","3175",-1.05526693995765,0
"160","207726","3219",-1.07762033323907,0
"161","231523","326624",1.01852591454242,0
"162","154663","330",-1.72824933219906,0
"163","162236","3316",-1.10893899440809,0
"164","182382","333926",1.05597861617553,0
"165","144834","333932",-1.41960943456986,0
"166","166383","3360",-1.0320909567436,0
"167","116820","338382",-2.47937212418856,0
"168","230947","339539",1.43900778054223,0
"169","228762","340719",-1.2163872169768,0
"170","172250","3425",1.00590047118493,0
"171","130677","3433",1.28353570167594,0
"172","106128","3434",1.2535271850305,0
"173","202937","3437",1.42869730580682,0
"174","182066","344887",-1.83584765338951,0
"175","154434","347902",-1.19594767385162,0
"176","220939","3494",-1.45563494459313,0
"177","163241","3569",-3.3572458387905,0
"178","200834","3575",-1.21680329807213,0
"179","176899","3576",-1.15132051394313,0
"180","172684","3604",-1.57344684892218,0
"181","124473","364",1.0698346623596,0
"182","183865","3652",1.08743837225603,0
"183","142209","3659",-1.13483032427128,0
"184","188050","3791",1.20682569023866,0
"185","207413","3815",1.45977026073129,0
"186","191495","387770",1.44538905625422,0
"187","128981","388649",1.16751719993009,0
"188","193383","3887",-2.90927476784281,0
"189","116275","3892",-3.1228740327863,0
"190","233641","3899",-1.13006738853679,0
"191","229308","391174",1.05348958514929,0
"192","109808","3988",1.06734131483829,0
"193","126570","401474",1.08884481054226,0
"194","235737","403312",-1.12894293085621,0
"195","170352","4051",-2.80905508639383,0
"196","hsa-miR-106a*","406899",4.357552005,2.41e-06
"197","hsa-miR-106b*","406900",1.422233001,2.3e-05
"198","hsa-miR-10b","406903",1.432959407,1.09e-05
"199","hsa-miR-125b","406911",1.485426827,2.79e-06
"200","hsa-miR-130b*","406920",1.989139007,2.19e-11
"201","hsa-miR-140-3p","406932",3.119356177,2.82e-41
"202","hsa-miR-143","406935",-5.64385619,3.04e-182
"203","hsa-miR-145","406937",-5.64385619,1.99e-132
"204","hsa-miR-146a","406938",4.119356177,1.05e-73
"205","hsa-miR-149","406941",2.09423607,3.27e-14
"206","hsa-miR-15b*","406949",1.669026766,3.05e-05
"207","hsa-miR-17","406952",1.713695815,2.85e-09
"208","hsa-miR-18a","406953",1.790772038,1.76e-09
"209","hsa-miR-187","406963",3.255500733,1.4e-09
"210","hsa-miR-188-5p","406964",2.272023189,2.82e-08
"211","hsa-miR-190","406965",1.475084883,2e-05
