"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes","symbols"
"7540","179259_at",0.497726462428204,9.5108082144699,5.97595315868364,0.000125182145266508,0.00139169472012845,0.675030713428729,"Cel.6671","pdr-1"
"7541","179260_s_at",0.569804744792807,9.38054747966311,7.06922815938872,3.06326869053873e-05,0.000504781166230435,2.1762208814338,"Cel.6671","pdr-1"
"7547","179266_at",-3.61488095796402,7.73429558034676,-26.2969624458763,1.01912757118807e-10,4.19232023602365e-08,15.305643199617,"Cel.15396","F15D4.5"
"7592","179311_at",-0.0460939322844531,5.35245514783935,-0.599848057882162,0.561678803373809,0.74164372553536,-7.52188115521639,"Cel.16675","T27F6.1"
"7650","179369_s_at",0.0520576618162849,6.5880636754261,0.551675720452014,0.593034827429774,0.764263668865267,-7.55131437757465,"Cel.4709","C18D4.6"
"7718","179437_s_at",-0.0806509147803203,6.91690000239019,-0.932382479018704,0.3726550368977,0.582514881684309,-7.25854948542231,"Cel.7170","pqn-74"
"7754","179473_at",-0.0515324169039877,4.6389916307495,-0.61225930921963,0.553751767680091,0.73658849689941,-7.51392560134486,"Cel.36458","C45G3.4"
"7756","179475_s_at",0.271978081813172,9.22921481551897,3.30611101305438,0.00771257967777745,0.0307105095406045,-3.64759682854507,"Cel.3842","F28F8.5"
"7760","179479_at",-0.0899875117636046,4.43542355016494,-0.8211990591056,0.430283929499017,0.637516646117012,-7.35785282193625,"Cel.37059","fbxb-63"
"7770","179489_s_at",0.66763210751425,9.57473796592774,7.84818635086362,1.22717299849224e-05,0.000251720662655367,3.15366210673394,"Cel.12456","R102.5"
"7816","179535_at",-0.151815653587573,4.2424620720149,-1.86915670604634,0.0905144731466063,0.214731042774664,-6.06976848239577,"Cel.33073","fbxa-44"
"7835","179554_at",-0.301188888627963,6.59579806565929,-2.94218695048999,0.0144187888132996,0.0506718075335359,-4.28309961816172,"Cel.15112","F44F4.1"
"7837","179556_s_at",0.439071448226436,7.76392430199946,4.88207253239042,0.000601881020949331,0.00429835525304361,-0.990143624567501,"Cel.34199","R151.8"
"7856","179575_at",-0.081164508544215,4.13034838518556,-1.02699729860179,0.328129661941431,0.536876887577732,-7.16573743948748,"Cel.27794","str-71"
"7873","179592_at",0.160115248128027,5.10439584969851,1.95060888024858,0.0790626220415306,0.194391634828258,-5.94426114017439,"Cel.25617","B0391.3"
"7919","179638_at",-0.180703462059046,6.42034454513376,-2.29171441222563,0.0443669140136366,0.123926102414633,-5.39500006551059,"Cel.34082","ZC412.5"
"7951","179670_at",-0.0978380908586,4.88348694113365,-1.16727905087735,0.269626467151563,0.471648277354577,-7.01496011552622,"Cel.25813","C14A6.8"
"8000","179719_at",0.0831493168919488,4.8398685863067,0.873239211716451,0.402596709623295,0.611818280173768,-7.3127219655275,"Cel.7622","aff-1"
"8014","179733_s_at",0.641004278977459,6.49236557410333,6.47966677522924,6.42091927663926e-05,0.000859605317360729,1.3863391325562,"Cel.6032","K11G9.5"
"8023","179742_at",0.203844328888412,7.03507208334149,1.67672328186176,0.123891346808282,0.272377973135494,-6.35532959518324,"Cel.16349","Y63D3A.8"
"8031","179750_at",0.196453263480535,7.34681859139906,1.85474292807308,0.0926946249624719,0.218710594407751,-6.09170941579547,"Cel.7120","D1037.1"
"8061","179780_s_at",0.0777232257470466,6.52587865444999,1.04532160148213,0.319983119198417,0.528632206780882,-7.14691511147366,"Cel.4270","EGAP9.3"
"8104","179823_at",0.317891387612754,8.76741709854233,3.8229828105945,0.00323111115018181,0.0154586360272496,-2.75079959911459,"Cel.16857","tag-151"
"8110","179829_at",-0.0585023605082853,5.28392595800971,-0.74968417170073,0.470360613882381,0.673709096549055,-7.4158839299094,"Cel.1651","Y51A2B.5"
"8211","179930_at",-0.0602106481538014,7.93681998705308,-0.531880550037717,0.60618372501354,0.773427015284001,-7.56273703132836,"Cel.14272","T27A1.5"
"8320","180039_at",-0.623589549705752,7.40605273091126,-5.19522066368774,0.000377354796467062,0.00307109793887312,-0.496538591103359,"Cel.16375","ttm-5"
"8330","180049_at",-0.159767465446386,5.34783301744042,-2.03757746210297,0.0683398019330706,0.173378338050653,-5.80759603062793,"Cel.506","Y62H9A.8"
"8345","180064_at",-0.114729030790146,6.50298720280142,-0.994896162000146,0.34277261158056,0.552005333314819,-7.19805635324206,"Cel.26192","C54D2.1"
"8406","180125_at",-0.0744652250838991,3.96676030769789,-0.872470211072492,0.402996720292461,0.612179454586876,-7.31340631906531,"Cel.26521","srh-203"
"8407","180126_s_at",0.0242002940616168,3.85714998124953,0.308676000476843,0.763772313577034,0.87699591153503,-7.6636597334827,"Cel.26521","srh-203"
"8476","180195_at",0.270232452477638,9.2763701808711,3.24420410067037,0.00857369819841026,0.0334160071901864,-3.75573852559635,"Cel.34089","T22F3.2"
"8522","180241_at",0.0776402647384318,5.20668803070121,0.73287924864961,0.480114082563637,0.681124976047297,-7.42883580488999,"Cel.27398","hpo-30"
"8544","180263_s_at",0.153169864438959,5.5032001789582,1.48078915104008,0.168838647485056,0.340977809457233,-6.62751372949028,"Cel.7331","C35E7.5"
"8609","180328_at",0.0625149188486764,3.9162289288124,0.644838567531909,0.53324747874594,0.720712318197544,-7.49232457097065,"Cel.17633","F38E11.6"
"8774","180493_at",-0.205516704272836,6.83926555442606,-2.5193808142,0.0299766504682504,0.0909998278336462,-5.01250833089055,"Cel.11297","C26B9.6"
