ID,symbols,logFC,P.Value
LOC_Os01g40750,LOC_Os01g40750,-0.633507,0.0314313
LOC_Os01g41010,LOC_Os01g41010,1.4616,0.00144447
LOC_Os01g41030,LOC_Os01g41030,-0.832959,0.00781053
LOC_Os01g41880,LOC_Os01g41880,-0.741694,0.00144447
LOC_Os01g41960,LOC_Os01g41960,4.37771,0.0135233
LOC_Os01g42210,LOC_Os01g42210,1.81174,0.0287714
LOC_Os01g42234,LOC_Os01g42234,-2.30287,0.00144447
LOC_Os01g42380,LOC_Os01g42380,1.16273,0.00619541
LOC_Os01g42470,LOC_Os01g42470,-0.929361,0.00144447
LOC_Os01g42520,LOC_Os01g42520,-1.02303,0.00144447
LOC_Os01g43060,LOC_Os01g43060,-0.965724,0.00701559
LOC_Os01g43120,LOC_Os01g43120,-0.608926,0.0447755
LOC_Os01g43480,LOC_Os01g43480,-1.21798,0.00144447
LOC_Os01g44069,LOC_Os01g44069,2.1316,0.00144447
LOC_Os01g44394,LOC_Os01g44394,-0.696927,0.0338106
LOC_Os01g45550,LOC_Os01g45550,0.969816,0.00860411
LOC_Os01g45570,LOC_Os01g45570,2.4178,0.00701559
LOC_Os01g45700,LOC_Os01g45700,2.03273,0.0182433
LOC_Os01g45750,LOC_Os01g45750,-0.64845,0.0160083
LOC_Os01g45914,LOC_Os01g45914,-3.58758,0.00144447
LOC_Os01g46060,LOC_Os01g46060,-0.78612,0.00447556
LOC_Os01g46350,LOC_Os01g46350,1.06861,0.00355611
LOC_Os01g46870,LOC_Os01g46870,-1.35063,0.00144447
LOC_Os01g46970,LOC_Os01g46970,1.11278,0.00144447
LOC_Os01g47130,LOC_Os01g47130,1.39958,0.0142094
LOC_Os01g47180,LOC_Os01g47180,1.03119,0.00447556
LOC_Os01g47660,LOC_Os01g47660,-0.91455,0.00144447
LOC_Os01g47780,LOC_Os01g47780,1.06546,0.00144447
LOC_Os01g48270,LOC_Os01g48270,0.695974,0.0334095
LOC_Os01g48960,LOC_Os01g48960,0.803172,0.0025789
LOC_Os01g49160,LOC_Os01g49160,1.2237,0.00619541
LOC_Os01g49200,LOC_Os01g49200,-0.559027,0.0470521
LOC_Os01g49290,LOC_Os01g49290,-0.917173,0.00144447
LOC_Os01g49900,LOC_Os01g49900,-0.848814,0.00936537
LOC_Os01g50200,LOC_Os01g50200,1.26963,0.00535638
LOC_Os01g50460,LOC_Os01g50460,-1.76784,0.0115122
LOC_Os01g50720,LOC_Os01g50720,0.992042,0.0470521
LOC_Os01g50910,LOC_Os01g50910,-2.56333,0.00144447
LOC_Os01g50930,LOC_Os01g50930,-1.18579,0.00144447
LOC_Os01g50970,LOC_Os01g50970,-0.972934,0.00781053
LOC_Os01g51020,LOC_Os01g51020,-1.06035,0.00144447
LOC_Os01g51060,LOC_Os01g51060,1.24497,0.00936537
LOC_Os01g52100,LOC_Os01g52100,-0.79607,0.00860411
LOC_Os01g52240,LOC_Os01g52240,-1.10129,0.0416717
LOC_Os01g52390,LOC_Os01g52390,-0.979153,0.00144447
LOC_Os01g52490,LOC_Os01g52490,-0.732581,0.00619541
LOC_Os01g52680,LOC_Os01g52680,3.63673,0.00144447
LOC_Os01g52690,LOC_Os01g52690,0.862631,0.0342066
LOC_Os01g52750,LOC_Os01g52750,1.21503,0.0194283
LOC_Os01g52780,LOC_Os01g52780,1.04794,0.00144447
LOC_Os01g52880,LOC_Os01g52880,4.32623,0.00144447
LOC_Os01g53160,LOC_Os01g53160,3.32307,0.00144447
LOC_Os01g53200,LOC_Os01g53200,-1.20798,0.00701559
LOC_Os01g53350,LOC_Os01g53350,-1.05278,0.0108632
LOC_Os01g53720,LOC_Os01g53720,-1.00914,0.00701559
LOC_Os01g54020,LOC_Os01g54020,-0.701081,0.0425371
LOC_Os01g54210,LOC_Os01g54210,-0.989786,0.00701559
LOC_Os01g54870,LOC_Os01g54870,-0.60259,0.0296755
LOC_Os01g54910,LOC_Os01g54910,-0.793172,0.00144447
LOC_Os01g54990,LOC_Os01g54990,0.688786,0.0115122
LOC_Os01g55000,LOC_Os01g55000,0.792476,0.0128631
